phrase,ref
"Because if I want to have business in Russia and in the Middle East, Middle Asia countries, I must learn Russian.",mixed
Something like this.,mixed
Critics?,mixed
I think I have been scolded and criticized a lot.,mixed
"I think if someone, especially your boss, criticized you, you should accept it.",external
"Everyone will be negative, they will somehow have some negative emotions with regard to the critics, but the critics can improve your behavior.",mixed
"You must know that something isn't appropriate for you to do, because the first time if you make mistakes, you got scolded, that's totally fine because you don't know anything, but I'm the person that won't make the same mistake again.",mixed
"I can make a lot of mistakes, but different mistakes, I won't make the same mistake again.",mixed
That's very important.,mixed
"And sometimes you should be very critical-thinking, you know.",mixed
Getting scolded isn't your problem.,mixed
And you should appreciate the critics from the others because they are helping you.,external
They are saving you.,mixed
"You know, in China we have an old saying that if you want to destroy a person, just say glorious words to him or her for every day.",mixed
He will be drowned in himself or herself and he will continue to die because of his mistake.,mixed
He doesn’t know his mistake.,mixed
"It is a good way for you to know your own mistakes because actually I think the mistakes make you grow up, make you a better person, something like this, so you should be appreciative of all the mistakes that you have made.",mixed
"You know, sometimes I feel that I have made a lot of mistakes in the past, and sometimes I can’t reconcile with myself perfectly because I feel that I was totally a failure.",internal
"No, because at least, I was very thankful for all the mistakes, for all the experiences that I had in my life, because without this, I couldn't be myself right now, something like this.",mixed
"Yes, yes, yes, yes.",mixed
I think I prefer to work in a team.,mixed
Sometimes I don't want to be overloaded because previously I was in a team and my teammates did nothing and I do all the home assignments by myself and they get the scores with no efforts dedicated.,mixed
"But right now, you see, I really like to work in the team with some hard-working teammates.",internal
"They are dividing the task equally and they can help you and sometimes, you know, working in a team can help you to know each other better, can help you work collaboratively with others.",mixed
